COSTS £ per sq ft NIA per annum,Net Effective Rent,Rates,Annualised costs,Hard FM,Soft FM,Management Fees,TOTAL /sq ft,Total per workstation,Net Effective Rent - 20-year old,Rates - 20-year old,Annualised costs - 20-year old,Hard FM - 20-year old,Soft FM - 20-year old,Management Fees - 20-year old,TOTAL /sq ft - 20-year old,Total per workstation - 20-year old
Portsmouth,27.75,8.74,10.42,20.28,10.31,1.96,79.45,"7,945",27.75,8.74,10.42,20.28,10.31,1.96,79.45," 7,945 "
Preston,17.5,4.8,9.59,19.96,10.35,1.63,63.83,"6,383",17.50,4.80,9.59,19.96,10.35,1.63,63.83," 6,383 "
Reading,33,14.94,10.42,20.53,10.39,2.19,91.47,"9,147",33.00,14.94,10.42,20.53,10.39,2.19,91.47," 9,147 "
Richmond,54.63,20.27,10.42,21.02,10.51,2.83,119.69,"11,968",54.63,20.27,10.42,21.02,10.51,2.83,119.69," 11,968 "
Sheffield,23.6,9.02,9.59,20.24,10.26,1.85,74.56,"7,456",23.60,9.02,9.59,20.24,10.26,1.85,74.56," 7,456 "
Slough,31.35,12.21,10.42,20.66,10.51,2.13,87.29,"8,728",31.35,12.21,10.42,20.66,10.51,2.13,87.29," 8,728 "
Southampton,32.38,10.74,10.42,20.39,10.39,2.11,86.43,"8,643",32.38,10.74,10.42,20.39,10.39,2.11,86.43," 8,643 "
St Albans,39.31,13.45,10.42,20.49,10.43,2.34,96.44,"9,643",39.31,13.45,10.42,20.49,10.43,2.34,96.44," 9,643 "
Staines,32.81,14.57,10.42,20.52,10.51,2.15,90.98,"9,098",32.81,14.57,10.42,20.52,10.51,2.15,90.98," 9,098 "
Swansea,12.4,5.42,9.59,20.12,10.29,1.81,59.63,"5,962",12.40,5.42,9.59,20.12,10.29,1.81,59.63," 5,962 "
Swindon,18.56,9.9,9.59,20.4,10.17,1.69,70.31,"7,031",18.56,9.90,9.59,20.40,10.17,1.69,70.31," 7,031 "
Uxbridge,31.5,9.54,10.42,21.33,10.51,2.11,85.41,"8,541",31.50,9.54,10.42,21.33,10.51,2.11,85.41," 8,541 "
Warrington,20.35,7.9,9.59,20.24,10.29,1.6,69.98,"6,997",20.35,7.90,9.59,20.24,10.29,1.60,69.98," 6,997 "
Watford,32.85,12.89,10.42,20.57,10.51,2.14,89.38,"8,937",32.85,12.89,10.42,20.57,10.51,2.14,89.38," 8,937 "
Woking,30.53,13.75,10.42,20.43,10.51,2.1,87.74,"8,774",30.53,13.75,10.42,20.43,10.51,2.10,87.74," 8,774 "
